序号,简体,繁体,康熙笔画,字义五行
639,睾,睾,14,木
640,竭,竭,14,木
641,笺,箋,14,木
642,筝,箏,14,木
643,箅,箅,14,木
644,箍,箍,14,木
645,箐,箐,14,木
646,箕,箕,14,木
647,算,算,14,木
648,箜,箜,14,木
649,箝,箝,14,木
650,管,管,14,木
651,箢,箢,14,木
652,紧,緊,14,木
653,綦,綦,14,木
654,纲,綱,14,木
655,绮,綺,14,木
656,绲,緄,14,木
657,绻,綣,14,木
658,罨,罨,14,木
659,罪,罪,14,木
660,肇,肇,14,木
661,腈,腈,14,木
662,苌,萇,14,木
663,荣,榮,14,木
664,荦,犖,14,木
665,莱,萊,14,木
666,莽,莽,14,木
667,菀,菀,14,木
668,菁,菁,14,木
669,菅,菅,14,木
670,菇,菇,14,木
671,菊,菊,14,木
672,菌,菌,14,木
673,菔,菔,14,木
674,菖,菖,14,木
675,菘,菘,14,木
676,菜,菜,14,木
677,菝,菝,14,木
678,菟,菟,14,木
679,菡,菡,14,木
680,菥,菥,14,木
681,菩,菩,14,木
682,菪,菪,14,木
683,菰,菰,14,木
684,菱,菱,14,木
685,菲,菲,14,木
686,菸,菸,14,木
687,菹,菹,14,木
688,菽,菽,14,木
689,萁,萁,14,木
690,萃,萃,14,木
691,萄,萄,14,木
692,萆,萆,14,木
693,萋,萋,14,木
694,萌,萌,14,木
695,萎,萎,14,木
696,萏,萏,14,木
697,萑,萑,14,木
698,著,著,14,木
699,蜮,蜮,14,木
700,蜴,蜴,14,木
701,蜷,蜷,14,木
702,蜾,蜾,14,木
703,裴,裴,14,木
704,裾,裾,14,木
705,诫,誡,14,木
706,语,語,14,木
707,诮,誚,14,木
708,诰,誥,14,木
709,诳,誑,14,木
710,赇,賕,14,木
711,赫,赫,14,木
712,赶,趕,14,木
713,跽,跽,14,木
714,轻,輕,14,木
715,迳,逕,14,木
716,逑,逑,14,木
717,逛,逛,14,木
718,郏,郟,14,木
719,郜,郜,14,木
720,郡,郡,14,木
721,郢,郢,14,木
722,酵,酵,14,木
723,酷,酷,14,木
724,降,降,14,木
